"Delovno aktivno prebivalstvo, registrirane brezposelne osebe in stopnje"
"registrirane brezposelnosti po: OBÈINE, LETO, SPOL , MERITVE"

" ";" ";"Spol - SKUPAJ"
" ";" ";"4 Stopnja registrirane brezposelnosti"
"Ajdovšèina"
"Dravograd"
" ";"2005";10.4
" ";"2006";9.8
" ";"2007";7.1
" ";"2008";6.5
" ";"2009";10.3
" ";"2010";12.6
" ";"2011";12.8
" ";"2012";12.3
" ";"2013";14.5
" ";"2014";13.6
" ";"2015";12.4
" ";"2016";11.5
"Duplek"
" ";"2005";12.0
" ";"2006";11.5
" ";"2007";10.2
" ";"2008";8.9
" ";"2009";10.7
" ";"2010";12.5
" ";"2011";13.3
" ";"2012";13.0
" ";"2013";14.1
" ";"2014";14.3
" ";"2015";13.5
" ";"2016";11.7
"Gorenja vas - Poljane"
" ";"2005";2.7
" ";"2006";2.4
" ";"2007";2.2
" ";"2008";2.4
" ";"2009";5.2
" ";"2010";5.3
" ";"2011";5.2
" ";"2012";5.4
" ";"2013";6.1
" ";"2014";6.2
" ";"2015";5.2
" ";"2016";4.5
"Gorišnica"
" ";"2005";11.8
" ";"2006";10.9
" ";"2007";9.0
" ";"2008";8.4
" ";"2009";10.5
" ";"2010";11.3
" ";"2011";10.4
" ";"2012";9.4
" ";"2013";9.5
" ";"2014";9.6
" ";"2015";8.7
" ";"2016";8.5
"Gorje"
" ";"2005";-
" ";"2006";-
" ";"2007";3.1
" ";"2008";2.9
" ";"2009";5.3
" ";"2010";6.6
" ";"2011";7.2
" ";"2012";7.1
" ";"2013";9.5
" ";"2014";8.9
" ";"2015";8.1
" ";"2016";7.2
"Gornja Radgona"
" ";"2005";16.0
" ";"2006";13.9
" ";"2007";10.1
" ";"2008";9.0
" ";"2009";12.2
" ";"2010";14.6
" ";"2011";15.1
" ";"2012";14.6
" ";"2013";16.0
" ";"2014";16.5
" ";"2015";16.0
" ";"2016";15.2
"Gornji Grad"
" ";"2005";11.4
" ";"2006";10.7
" ";"2007";9.4
" ";"2008";8.8
" ";"2009";10.6
" ";"2010";11.4
" ";"2011";11.7
" ";"2012";11.6
" ";"2013";12.8
" ";"2014";11.7
" ";"2015";11.5
" ";"2016";10.2
"Gornji Petrovci"
" ";"2005";19.0
" ";"2006";17.2
" ";"2007";14.6
" ";"2008";11.8
" ";"2009";14.5
" ";"2010";15.8
" ";"2011";14.7
" ";"2012";16.3
" ";"2013";16.6
" ";"2014";16.5
" ";"2015";16.5
" ";"2016";15.9
"Grad"
" ";"2005";15.1
" ";"2006";13.7
" ";"2007";12.1
" ";"2008";10.6
" ";"2009";14.8
" ";"2010";17.6
" ";"2011";16.1
" ";"2012";18.0
" ";"2013";16.0
" ";"2014";18.1
" ";"2015";17.5
" ";"2016";16.7
"Grosuplje"
" ";"2005";7.2
" ";"2006";6.6
" ";"2007";5.4
" ";"2008";4.9
" ";"2009";6.5
" ";"2010";8.1
" ";"2011";9.7
" ";"2012";10.4
" ";"2013";11.8
" ";"2014";11.4
" ";"2015";10.4
" ";"2016";9.5
"Hajdina"
" ";"2005";9.1
" ";"2006";8.4
" ";"2007";8.5
" ";"2008";6.9
" ";"2009";9.4
" ";"2010";11.3
" ";"2011";10.8
" ";"2012";9.9
" ";"2013";10.3
" ";"2014";9.7
" ";"2015";9.2
" ";"2016";8.9
"Hoèe - Slivnica"
" ";"2005";10.5
" ";"2006";10.6
" ";"2007";9.7
" ";"2008";8.2
" ";"2009";10.7
" ";"2010";12.4
" ";"2011";13.9
" ";"2012";12.7
" ";"2013";13.7
" ";"2014";14.1
" ";"2015";12.8
" ";"2016";11.6
"Hodoš/Hodos"
" ";"2005";12.4
" ";"2006";14.4
" ";"2007";14.0
" ";"2008";11.9
" ";"2009";13.7
" ";"2010";16.6
" ";"2011";19.3
" ";"2012";18.8
" ";"2013";20.8
" ";"2014";18.8
" ";"2015";19.7
" ";"2016";19.1
"Horjul"
" ";"2005";3.7
" ";"2006";3.6
" ";"2007";3.4
" ";"2008";2.7
" ";"2009";3.8
" ";"2010";5.2
" ";"2011";5.5
" ";"2012";5.7
" ";"2013";6.8
" ";"2014";7.1
" ";"2015";6.2
" ";"2016";5.6
"Hrastnik"
" ";"2005";13.9
" ";"2006";12.6
" ";"2007";10.6
" ";"2008";9.5
" ";"2009";12.0
" ";"2010";13.2
" ";"2011";13.5
" ";"2012";15.9
" ";"2013";18.1
" ";"2014";19.1
" ";"2015";17.6
" ";"2016";15.6
"Hrpelje - Kozina"
" ";"2005";7.9
" ";"2006";6.7
" ";"2007";5.8
" ";"2008";4.8
" ";"2009";6.1
" ";"2010";7.4
" ";"2011";8.7
