"Delovno aktivno prebivalstvo, registrirane brezposelne osebe in stopnje"
"registrirane brezposelnosti po: OBÈINE, LETO, SPOL , MERITVE"

" ";" ";"Spol - SKUPAJ"
" ";" ";"4 Stopnja registrirane brezposelnosti"
"Ajdovšèina"
" ";"2007";4.0
" ";"2008";2.9
" ";"2009";4.1
" ";"2010";5.9
" ";"2011";7.7
" ";"2012";8.6
" ";"2013";9.0
" ";"2014";8.8
" ";"2015";8.0
" ";"2016";7.5
"Veržej"
" ";"2005";8.7
" ";"2006";9.0
" ";"2007";7.9
" ";"2008";8.4
" ";"2009";11.9
" ";"2010";14.3
" ";"2011";14.0
" ";"2012";11.8
" ";"2013";11.6
" ";"2014";13.0
" ";"2015";11.3
" ";"2016";9.9
"Videm"
" ";"2005";10.3
" ";"2006";10.0
" ";"2007";9.1
" ";"2008";7.8
" ";"2009";11.6
" ";"2010";14.2
" ";"2011";12.8
" ";"2012";12.2
" ";"2013";11.9
" ";"2014";10.8
" ";"2015";9.8
" ";"2016";8.7
"Vipava"
" ";"2005";5.8
" ";"2006";6.4
" ";"2007";5.2
" ";"2008";4.8
" ";"2009";6.8
" ";"2010";9.2
" ";"2011";11.5
" ";"2012";12.6
" ";"2013";13.6
" ";"2014";13.2
" ";"2015";11.8
" ";"2016";9.6
"Vitanje"
" ";"2005";9.9
" ";"2006";9.6
" ";"2007";8.2
" ";"2008";7.6
" ";"2009";10.5
" ";"2010";11.8
" ";"2011";10.6
" ";"2012";9.4
" ";"2013";8.9
" ";"2014";8.5
" ";"2015";8.5
" ";"2016";9.3
"Vodice"
" ";"2005";4.2
" ";"2006";4.9
" ";"2007";4.6
" ";"2008";3.8
" ";"2009";5.0
" ";"2010";5.6
" ";"2011";6.5
" ";"2012";6.1
" ";"2013";7.2
" ";"2014";7.7
" ";"2015";7.6
" ";"2016";6.6
"Vojnik"
" ";"2005";9.7
" ";"2006";8.7
" ";"2007";7.1
" ";"2008";6.2
" ";"2009";8.4
" ";"2010";9.4
" ";"2011";9.6
" ";"2012";9.8
" ";"2013";11.3
" ";"2014";11.2
" ";"2015";11.0
" ";"2016";10.6
"Vransko"
" ";"2005";13.8
" ";"2006";11.5
" ";"2007";10.1
" ";"2008";7.3
" ";"2009";8.7
" ";"2010";10.0
" ";"2011";11.9
" ";"2012";10.9
" ";"2013";12.8
" ";"2014";13.1
" ";"2015";11.7
" ";"2016";10.2
"Vrhnika"
" ";"2005";6.7
" ";"2006";5.7
" ";"2007";4.7
" ";"2008";4.3
" ";"2009";9.8
" ";"2010";10.3
" ";"2011";10.7
" ";"2012";11.2
" ";"2013";13.0
" ";"2014";12.6
" ";"2015";11.8
" ";"2016";10.6
"Vuzenica"
" ";"2005";11.4
" ";"2006";9.5
" ";"2007";7.7
" ";"2008";7.5
" ";"2009";10.8
" ";"2010";12.8
" ";"2011";14.0
" ";"2012";12.0
" ";"2013";14.2
" ";"2014";12.9
" ";"2015";12.2
" ";"2016";12.0
"Zagorje ob Savi"
" ";"2005";10.7
" ";"2006";8.6
" ";"2007";7.1
" ";"2008";6.2
" ";"2009";8.8
" ";"2010";9.4
" ";"2011";10.7
" ";"2012";11.5
" ";"2013";12.9
" ";"2014";14.3
" ";"2015";13.1
" ";"2016";11.9
"Zavrè"
" ";"2005";13.1
" ";"2006";12.6
" ";"2007";11.1
" ";"2008";8.7
" ";"2009";12.3
" ";"2010";12.7
" ";"2011";15.3
" ";"2012";15.2
" ";"2013";15.9
" ";"2014";16.3
" ";"2015";12.6
" ";"2016";10.8
"Zreèe"
" ";"2005";9.1
" ";"2006";9.1
" ";"2007";7.6
" ";"2008";6.7
" ";"2009";9.6
" ";"2010";9.9
" ";"2011";10.2
" ";"2012";10.4
" ";"2013";10.9
" ";"2014";10.8
" ";"2015";10.4
" ";"2016";10.1
"Žalec"
" ";"2005";15.2
" ";"2006";13.0
" ";"2007";10.3
" ";"2008";8.7
" ";"2009";10.8
" ";"2010";12.3
" ";"2011";13.8
" ";"2012";13.1
" ";"2013";15.3
" ";"2014";15.7
" ";"2015";14.2
" ";"2016";13.3
"Železniki"
" ";"2005";3.4
" ";"2006";3.2
" ";"2007";2.7
" ";"2008";2.2
" ";"2009";4.2
" ";"2010";4.1
" ";"2011";5.8
" ";"2012";5.7
" ";"2013";6.3
" ";"2014";6.3
" ";"2015";5.4
" ";"2016";4.6
"Žetale"
" ";"2005";11.4
" ";"2006";10.1
" ";"2007";9.0
" ";"2008";7.2
" ";"2009";10.1
" ";"2010";11.1
" ";"2011";9.6
" ";"2012";9.9
" ";"2013";8.3
" ";"2014";7.9
" ";"2015";8.0
" ";"2016";7.8
"Žiri"
" ";"2005";3.0
" ";"2006";3.0
" ";"2007";2.4
" ";"2008";2.4
" ";"2009";5.1
" ";"2010";5.2
" ";"2011";5.5
" ";"2012";5.0
" ";"2013";5.9
" ";"2014";4.8
" ";"2015";4.6
" ";"2016";4.7
"Žirovnica"
" ";"2005";6.4
" ";"2006";5.3
" ";"2007";4.5
" ";"2008";3.8
" ";"2009";5.8
" ";"2010";7.0
" ";"2011";8.1
" ";"2012";8.0
" ";"2013";8.5
" ";"2014";8.1
" ";"2015";7.6
" ";"2016";6.8
"Žužemberk"
" ";"2005";4.3
" ";"2006";4.2
" ";"2007";4.3
" ";"2008";3.4
" ";"2009";5.9
" ";"2010";6.8
" ";"2011";8.2
" ";"2012";10.1
" ";"2013";10.9
" ";"2014";10.0
" ";"2015";7.8
" ";"2016";6.0

"Vir: Statistièni urad Republike Slovenije. "
" "
"Zaradi zaokroževanja na cela števila se vsote ne ujemajo vedno."

"Povezane vsebine: "
"- (seznam HREF=http://www.stat.si/statweb/File/DocSysFile/8138 "
"target=_blank) Metodološka pojasnila"

"Podatki so teritorialno razvršèeni po uredbi o Standardni "
"klasifikaciji teritorialnih enot ((seznam "
"HREF=http://www.stat.si/StatWeb/glavnanavigacija/metode-in-klasifikac-"
"ije/klasifikacije TARGET=_blank) opis in pojasnila), raven SKTE 5. "
"Podatki o spremembah posameznih obèin so dostopni na (seznam "
"HREF=http://www.stat.si/StatWeb/glavnanavigacija/metode-in-klasifikac-"
"ije/klasifikacije/spremembe-obmocij-obcin TARGET=_blank) povezavi. V "
"Seznamu obèin s spremembami obmoèij obèin od leta 1995 dalje je "
"opisana vrsta spremembe, naveden je datum, s katerim je opisana "
"teritorialna sprememba upoštevana pri teritorialnem razvršèanju enot "
"za statistiène namene ter naveden Uradni list, v katerem so bile "
"objavljene omenjene teritorialne opombe. V seznamu obèin je navedeno "
"zadnje veljavno stanje imen obèin. "

