"Polnoletni obsojenci (znani storilci) po: KAZNIVO DEJANJE, GLAVNA"
"KAZEN, SPOL , LETO"

" ";" ";"Spol - SKUPAJ";" ";" ";"Moški";" ";" ";"Ženske";" ";" "
" ";"13 Sodni opomin";-;-;-;-;-;-;-;-;-
" ";"14 Kazen opušèena";-;4;4;-;4;2;-;-;2
" ";"16 Varnostni ukrep brez izreka kazni";-;6;2;-;5;1;-;1;1
"4.XVI KAZNIVA DEJANJA ZOPER ÈLOVEKOVE PRAVICE IN SVOBOŠÈINE"
" ";"111 Zaporna kazen (nepogojna)";-;12;5;-;9;5;-;3;-
" ";"112 Zaporna kazen (pogojna)";9;86;81;7;77;74;2;9;7
" ";"12 Denarna kazen";3;5;27;3;5;21;-;-;6
" ";"13 Sodni opomin";-;-;-;-;-;-;-;-;-
" ";"14 Kazen opušèena";-;4;3;-;3;2;-;1;1
" ";"16 Varnostni ukrep brez izreka kazni";-;3;2;-;3;2;-;-;-
"4.XIX KAZNIVA DEJANJA ZOPER SPOLNO NEDOTAKLJIVOST"
" ";"111 Zaporna kazen (nepogojna)";-;33;36;-;32;36;-;1;-
" ";"112 Zaporna kazen (pogojna)";2;29;33;2;29;33;-;-;-
" ";"12 Denarna kazen";-;-;-;-;-;-;-;-;-
" ";"13 Sodni opomin";-;-;-;-;-;-;-;-;-
" ";"14 Kazen opušèena";-;-;-;-;-;-;-;-;-
" ";"16 Varnostni ukrep brez izreka kazni";-;2;1;-;2;1;-;-;-
"4.XX KAZNIVA DEJANJA ZOPER ÈLOVEKOVO ZDRAVJE"
" ";"111 Zaporna kazen (nepogojna)";19;149;105;17;142;91;2;7;14
" ";"112 Zaporna kazen (pogojna)";22;254;233;21;233;201;1;21;32
" ";"12 Denarna kazen";-;4;1;-;4;1;-;-;-
" ";"13 Sodni opomin";-;-;-;-;-;-;-;-;-
" ";"14 Kazen opušèena";-;-;-;-;-;-;-;-;-
" ";"16 Varnostni ukrep brez izreka kazni";-;1;-;-;-;-;-;1;-
"4.XXI KAZNIVA DEJANJA ZOPER ZAKONSKO ZVEZO, DRUŽINO IN OTROKE"
" ";"111 Zaporna kazen (nepogojna)";-;50;45;-;48;43;-;2;2
" ";"112 Zaporna kazen (pogojna)";15;407;372;12;363;327;3;44;45
" ";"12 Denarna kazen";-;1;-;-;1;-;-;-;-
" ";"13 Sodni opomin";-;-;-;-;-;-;-;-;-
" ";"14 Kazen opušèena";-;2;3;-;2;3;-;-;-
" ";"16 Varnostni ukrep brez izreka kazni";-;4;6;-;4;6;-;-;-
"4.XXII KAZNIVA DEJANJA ZOPER DELOVNO RAZMERJE IN SOCIALNO VARNOST"
" ";"111 Zaporna kazen (nepogojna)";-;12;20;-;11;19;-;1;1
" ";"112 Zaporna kazen (pogojna)";4;136;124;4;111;101;-;25;23
" ";"12 Denarna kazen";1;4;9;1;3;7;-;1;2
" ";"13 Sodni opomin";-;-;-;-;-;-;-;-;-
" ";"14 Kazen opušèena";-;1;1;-;1;1;-;-;-
" ";"16 Varnostni ukrep brez izreka kazni";-;-;-;-;-;-;-;-;-
"4.XXIII KAZNIVA DEJANJA ZOPER PREMOŽENJE"
" ";"111 Zaporna kazen (nepogojna)";42;810;610;36;730;548;6;80;62
" ";"112 Zaporna kazen (pogojna)";83;1783;1554;65;1447;1237;18;336;317
" ";"12 Denarna kazen";2;88;76;2;67;63;-;21;13
" ";"13 Sodni opomin";-;-;-;-;-;-;-;-;-
" ";"14 Kazen opušèena";-;19;11;-;14;4;-;5;7
" ";"16 Varnostni ukrep brez izreka kazni";-;7;5;-;3;4;-;4;1
"4.XXV KAZNIVA DEJANJA ZOPER PRAVNI PROMET"
" ";"111 Zaporna kazen (nepogojna)";3;15;12;3;14;7;-;1;5
" ";"112 Zaporna kazen (pogojna)";10;425;428;8;361;367;2;64;61
" ";"12 Denarna kazen";1;12;16;1;11;10;-;1;6
" ";"13 Sodni opomin";-;-;-;-;-;-;-;-;-
" ";"14 Kazen opušèena";-;7;1;-;3;-;-;4;1
" ";"16 Varnostni ukrep brez izreka kazni";-;-;-;-;-;-;-;-;-
"4.XXVI KAZNIVA DEJANJA ZOPER URADNO DOLŽNOST IN JAVNA POOBLASTILA"
" ";"111 Zaporna kazen (nepogojna)";1;8;6;1;6;5;-;2;1
" ";"112 Zaporna kazen (pogojna)";2;17;21;2;17;16;-;-;5
" ";"12 Denarna kazen";-;-;3;-;-;3;-;-;-
" ";"13 Sodni opomin";-;-;-;-;-;-;-;-;-
" ";"14 Kazen opušèena";-;-;1;-;-;1;-;-;-
" ";"16 Varnostni ukrep brez izreka kazni";-;-;-;-;-;-;-;-;-
"4.XXVII KAZNIVA DEJANJA ZOPER VOJAŠKO SLUŽBO"
" ";"111 Zaporna kazen (nepogojna)";-;-;-;-;-;-;-;-;-
" ";"112 Zaporna kazen (pogojna)";-;-;1;-;-;1;-;-;-
" ";"12 Denarna kazen";-;-;-;-;-;-;-;-;-
" ";"13 Sodni opomin";-;-;-;-;-;-;-;-;-
" ";"14 Kazen opušèena";-;-;-;-;-;-;-;-;-
" ";"16 Varnostni ukrep brez izreka kazni";-;-;-;-;-;-;-;-;-
"4.XXVIII KAZNIVA DEJANJA ZOPER PRAVOSODJE"
" ";"111 Zaporna kazen (nepogojna)";-;8;8;-;6;8;-;2;-
" ";"112 Zaporna kazen (pogojna)";7;68;74;5;51;45;2;17;29
" ";"12 Denarna kazen";-;20;15;-;13;13;-;7;2
" ";"13 Sodni opomin";-;-;-;-;-;-;-;-;-
" ";"14 Kazen opušèena";-;2;1;-;1;-;-;1;1
" ";"16 Varnostni ukrep brez izreka kazni";-;-;-;-;-;-;-;-;-
"4.XXIX KAZNIVA DEJANJA ZOPER JAVNI RED IN MIR"
" ";"111 Zaporna kazen (nepogojna)";6;71;68;6;66;67;-;5;1
" ";"112 Zaporna kazen (pogojna)";28;258;221;25;237;206;3;21;15
" ";"12 Denarna kazen";-;15;10;-;14;9;-;1;1
" ";"13 Sodni opomin";-;-;-;-;-;-;-;-;-
" ";"14 Kazen opušèena";-;4;-;-;3;-;-;1;-
" ";"16 Varnostni ukrep brez izreka kazni";-;7;3;-;7;3;-;-;-
"4.XXX KAZNIVA DEJANJA ZOPER SPLOŠNO VARNOST LJUDI IN PREMOŽENJA"
" ";"111 Zaporna kazen (nepogojna)";-;-;5;-;-;5;-;-;-
" ";"112 Zaporna kazen (pogojna)";1;24;22;1;19;18;-;5;4
" ";"12 Denarna kazen";-;2;-;-;2;-;-;-;-
" ";"13 Sodni opomin";-;-;-;-;-;-;-;-;-
" ";"14 Kazen opušèena";-;1;1;-;1;-;-;-;1
" ";"16 Varnostni ukrep brez izreka kazni";-;-;1;-;-;1;-;-;-
"4.XXXI KAZNIVA DEJANJA ZOPER VARNOST JAVNEGA PROMETA"
" ";"111 Zaporna kazen (nepogojna)";2;42;41;1;40;37;1;2;4
" ";"112 Zaporna kazen (pogojna)";5;107;117;4;85;97;1;22;20
" ";"12 Denarna kazen";-;32;48;-;29;40;-;3;8
" ";"13 Sodni opomin";-;-;-;-;-;-;-;-;-
" ";"14 Kazen opušèena";-;-;2;-;-;1;-;-;1
" ";"16 Varnostni ukrep brez izreka kazni";-;-;-;-;-;-;-;-;-
"4.XXXII KAZNIVA DEJANJA ZOPER OKOLJE, PROSTOR IN NARAVNE DOBRINE"
" ";"111 Zaporna kazen (nepogojna)";-;3;1;-;3;1;-;-;-
" ";"112 Zaporna kazen (pogojna)";1;16;9;1;14;7;-;2;2
" ";"12 Denarna kazen";-;1;3;-;1;2;-;-;1
" ";"13 Sodni opomin";-;-;-;-;-;-;-;-;-
" ";"14 Kazen opušèena";-;-;-;-;-;-;-;-;-
